#Position (bp)	insert size	chromosomes
1765149.5	162.54609929078015	0.0
1771283.0	157.80680437424058	448.0
1777413.5	155.5140946010511	0.0
1783543.5	159.931906614786	0.0
1789673.0	166.22222222222223	448.0
1795801.0	156.7050279329609	0.0
1801921.5	153.6551724137931	0.0
1808033.5	152.9173859432799	448.0
1814143.0	156.09014084507044	0.0
1820252.0	160.09333333333333	0.0
1826355.0	161.08788598574822	448.0
1832448.0	157.9098228663446	0.0
1838535.5	157.95663265306123	0.0
1844620.0	154.55109489051094	448.0
1850702.5	161.3008130081301	0.0
1856778.5	158.51760228353947	0.0
1862847.5	158.39776951672863	448.0
1868913.5	159.71052631578948	0.0
1873373.0	156.35135135135135	0.0
1876399.5	153.75586854460093	448.0
1881023.0	158.18427835051546	0.0
1887070.0	162.44266055045873	0.0
1893114.5	161.4093567251462	448.0
1899158.0	124.83756071235834	0.0
1905200.0	158.6915322580645	0.0
1911240.5	172.23529411764707	448.0
1917279.0	162.49101796407186	0.0
1923310.0	154.4888178913738	0.0
1929334.0	154.92561983471074	448.0
1935351.0	158.20919540229886	0.0
1941356.5	164.14285714285714	0.0
1947352.5	166.56849315068493	448.0
1953343.0	157.68577075098815	0.0
1959328.0	155.0559796437659	0.0
1965306.5	160.94588005850804	448.0
1971281.0	156.73439153439153	0.0
1977253.5	160.7938596491228	0.0
1983220.5	159.19417475728156	448.0
1989176.5	156.5809917355372	0.0
1995126.5	159.44173027989822	0.0
2001076.0	159.3942819148936	448.0
2007023.5	160.73453093812375	0.0
2012969.0	155.84819277108434	0.0
2018905.5	166.21311475409837	448.0
2024825.5	160.313630880579	0.0
2030733.0	158.52262848376375	0.0
2036635.5	162.11023622047244	448.0
2042537.0	161.45375408052232	0.0
2048436.0	155.22058823529412	0.0
2054327.5	157.62578162578163	448.0
2059775.5	158.64914586070958	0.0
2062713.5	157.4	0.0
2066083.0	166.99184782608697	448.0
2071955.5	162.62049861495845	0.0
2077824.0	170.14471948475207	0.0
2083681.5	161.4638027048528	448.0
2089531.0	161.48693586698337	0.0
2095378.0	158.3148614609572	0.0
2101221.0	148.74522292993632	448.0
2107061.5	151.29746835443038	0.0
2112901.5	164.19871794871796	0.0
2118737.5	161.49606299212599	448.0
2124567.5	159.11595022624434	0.0
2130388.0	158.22321428571428	0.0
2136199.0	159.59733333333332	448.0
2142004.0	162.451582867784	0.0
2147804.0	155.2177177177177	0.0
2153602.5	164.84450784593437	448.0
2159400.0	157.3319787433573	0.0
2165187.0	158.57269189954016	0.0
2170963.0	156.45862068965516	448.0
2176736.0	159.72800808897875	0.0
2182506.0	157.92275574112736	0.0
2188274.0	159.31742243436753	448.0
2194041.0	158.1860465116279	0.0
2199806.0	161.3342245989305	0.0
2205566.0	157.88600556070435	448.0
2211322.5	162.62301587301587	0.0
2217076.5	155.7009646302251	0.0
2222828.5	157.58745874587459	448.0
2228579.0	160.23094170403587	0.0
2234327.5	152.55797101449275	0.0
2240074.5	159.92793931731984	448.0
2245820.0	155.00806451612902	0.0
2249226.5	149.90243902439025	0.0
2252093.5	158.73720930232557	448.0
2257289.0	158.16788321167883	0.0
2263013.0	166.66176470588235	0.0
2268735.5	156.48033707865167	448.0
2274457.5	161.88829787234042	0.0
2280179.5	162.97891036906853	0.0
2285901.5	160.53947368421052	448.0
2291622.5	163.8008385744235	0.0
2297341.5	163.87362637362637	0.0
2303058.5	159.59741950757575	448.0
2308771.5	157.64721643346235	0.0
2314476.5	155.1127895266868	0.0
2320174.0	164.74181117533718	448.0
2325868.5	168.42666666666668	0.0
2331560.5	158.9763928234183	0.0
2337248.5	156.08024691358025	448.0
2342933.0	155.49668874172184	0.0
2348612.0	156.6532184950136	0.0
2354286.5	157.9320754716981	448.0
2359955.5	159.5137299771167	0.0
2365616.5	154.48249619482496	0.0
2371273.0	157.88288874430708	448.0
2376925.0	154.28025477707007	0.0
2382573.0	162.0576652601969	0.0
2388218.5	159.4848484848485	448.0
2393862.0	156.29314786192685	0.0
2399503.0	156.9475935828877	0.0
2405142.0	163.19001610305958	448.0
2410777.0	154.68639053254438	0.0
2416403.0	160.53571428571428	0.0
2422022.0	152.9810298102981	448.0
2427636.0	158.12596899224806	0.0
2433242.0	157.0144600090375	0.0
2436641.5	160.28057553956833	448.0
2439441.0	158.44319206492335	0.0
2444440.5	160.48590021691973	0.0
2450036.0	156.98110661268555	448.0
2455625.5	160.52611940298507	0.0
2461204.5	163.6928251121076	0.0
