#Position (bp)	Coverage	Std
6.64431255E7	2.4098712446351933	1.8719753859208625
6.64435915E7	2.1566523605150216	1.6689540812502566
6.64440575E7	2.7618025751072963	2.2085475778061645
6.64445235E7	1.8111587982832618	1.7760930262146293
6.64449895E7	4.034334763948498	1.6153767548426083
6.64454555E7	3.5214592274678114	2.7550188303103855
6.64459215E7	2.976394849785408	2.4319052387230786
6.64463875E7	0.6673819742489271	1.0389413562039491
6.64468535E7	1.890557939914163	1.8794118338463544
6.64473195E7	1.3605150214592274	1.3989573063765661
6.64477855E7	3.130901287553648	1.4700150359804431
6.64482515E7	1.5214592274678111	1.829069042499971
6.64487175E7	0.37339055793991416	0.7055877530493417
6.64491835E7	1.6738197424892705	1.5124660816258557
6.6449649E7	15.331182795698926	10.503148529477151
6.6450114E7	5.187096774193549	3.1843028980039825
6.6450579E7	4.864516129032258	4.262867932595694
6.6451044E7	21.636559139784946	13.380454369706019
6.6451509E7	4.161290322580645	2.9428243328074206
6.6451974E7	0.43655913978494626	0.7317676345451075
6.6452439E7	7.161290322580645	4.215690098993601
6.6452904E7	2.7376344086021507	2.50976587178621
6.6453369E7	3.1591397849462366	1.8859982097848946
6.6453834E7	3.546236559139785	2.612624437536498
6.6454299E7	3.1763440860215053	1.7536444386489245
6.6454764E7	5.402150537634409	4.15816336627665
6.6455229E7	0.0	0.0
6.6455694E7	4.987096774193549	3.934681744449928
6.6456159E7	0.9440860215053763	1.246931718129513
6.6456624E7	0.0	0.0
6.6457089E7	4.090322580645161	2.0697514265587396
6.6457554E7	4.862365591397849	3.6950999229872274
6.6458019E7	3.911827956989247	3.091438054904518
6.6458484E7	4.529032258064516	2.4468544652662834
6.6458949E7	2.946236559139785	3.3302135938472714
6.6459414E7	2.7419354838709675	2.7139623059006297
6.6459879E7	0.7634408602150538	1.0128210363202885
6.6460344E7	3.838709677419355	2.668413406413422
6.6460809E7	0.8817204301075269	1.1877511053129115
6.6461274E7	0.0	0.0
6.6461739E7	1.8021505376344087	1.8002389327680266
6.6462204E7	0.5655913978494623	1.102294771574673
6.6462669E7	2.3548387096774195	1.705777658241202
6.6463134E7	2.9913978494623654	2.5878126272101674
6.6463599E7	1.4365591397849462	1.5637011512186658
6.6464064E7	1.6688172043010752	1.802626518608721
6.6464529E7	2.6580645161290324	2.04150482132271
6.6464994E7	1.4258064516129032	1.3165611772087666
6.6465459E7	0.0	0.0
